minecraft:panda net.minecraft.entity.passive.PandaEntity
minecraft:llama net.minecraft.entity.passive.LlamaEntity
minecraft:trader_llama net.minecraft.entity.passive.TraderLlamaEntity
minecraft:drowned net.minecraft.entity.mob.DrownedEntity
minecraft:squid net.minecraft.entity.passive.SquidEntity
minecraft:glow_squid net.minecraft.entity.passive.GlowSquidEntity
minecraft:armor_stand net.minecraft.entity.decoration.ArmorStandEntity
minecraft:cod net.minecraft.entity.passive.CodEntity
minecraft:magma_cube net.minecraft.entity.mob.MagmaCubeEntity
minecraft:bee net.minecraft.entity.passive.BeeEntity
minecraft:zombie net.minecraft.entity.mob.ZombieEntity
minecraft:turtle net.minecraft.entity.passive.TurtleEntity
minecraft:mule net.minecraft.entity.passive.MuleEntity
minecraft:slime net.minecraft.entity.mob.SlimeEntity
minecraft:horse net.minecraft.entity.passive.HorseEntity
minecraft:zombie_horse net.minecraft.entity.mob.ZombieHorseEntity
minecraft:skeleton_horse net.minecraft.entity.mob.SkeletonHorseEntity
minecraft:endermite net.minecraft.entity.mob.EndermiteEntity
minecraft:piglin_brute net.minecraft.entity.mob.PiglinBruteEntity
minecraft:blaze net.minecraft.entity.mob.BlazeEntity
minecraft:wolf net.minecraft.entity.passive.WolfEntity
minecraft:pig net.minecraft.entity.passive.PigEntity
minecraft:witch net.minecraft.entity.mob.WitchEntity
minecraft:tropical_fish net.minecraft.entity.passive.TropicalFishEntity
minecraft:pufferfish net.minecraft.entity.passive.PufferfishEntity
minecraft:silverfish net.minecraft.entity.mob.SilverfishEntity
minecraft:husk net.minecraft.entity.mob.HuskEntity
minecraft:axolotl net.minecraft.entity.passive.AxolotlEntity
minecraft:iron_golem net.minecraft.entity.passive.IronGolemEntity
minecraft:snow_golem net.minecraft.entity.passive.SnowGolemEntity
minecraft:mooshroom net.minecraft.entity.passive.MooshroomEntity
minecraft:phantom net.minecraft.entity.mob.PhantomEntity
minecraft:guardian net.minecraft.entity.mob.GuardianEntity
minecraft:elder_guardian net.minecraft.entity.mob.ElderGuardianEntity
minecraft:enderman net.minecraft.entity.mob.EndermanEntity
minecraft:chicken net.minecraft.entity.passive.ChickenEntity
minecraft:dolphin net.minecraft.entity.passive.DolphinEntity
minecraft:piglin net.minecraft.entity.mob.PiglinEntity
minecraft:zombified_piglin net.minecraft.entity.mob.ZombifiedPiglinEntity
minecraft:hoglin net.minecraft.entity.mob.HoglinEntity
minecraft:zoglin net.minecraft.entity.mob.ZoglinEntity
minecraft:ender_dragon net.minecraft.entity.boss.dragon.EnderDragonEntity
minecraft:salmon net.minecraft.entity.passive.SalmonEntity
minecraft:skeleton net.minecraft.entity.mob.SkeletonEntity
minecraft:wither_skeleton net.minecraft.entity.mob.WitherSkeletonEntity
minecraft:sheep net.minecraft.entity.passive.SheepEntity
minecraft:polar_bear net.minecraft.entity.passive.PolarBearEntity
minecraft:wandering_trader net.minecraft.entity.passive.WanderingTraderEntity
minecraft:spider net.minecraft.entity.mob.SpiderEntity
minecraft:cave_spider net.minecraft.entity.mob.CaveSpiderEntity
minecraft:strider net.minecraft.entity.passive.StriderEntity
minecraft:pillager net.minecraft.entity.mob.PillagerEntity
minecraft:villager net.minecraft.entity.passive.VillagerEntity
minecraft:zombie_villager net.minecraft.entity.mob.ZombieVillagerEntity
minecraft:ravager net.minecraft.entity.mob.RavagerEntity
minecraft:wither net.minecraft.entity.boss.WitherEntity
minecraft:shulker net.minecraft.entity.mob.ShulkerEntity
minecraft:evoker net.minecraft.entity.mob.EvokerEntity
minecraft:illusioner net.minecraft.entity.mob.IllusionerEntity
minecraft:creeper net.minecraft.entity.mob.CreeperEntity
minecraft:vindicator net.minecraft.entity.mob.VindicatorEntity
minecraft:bat net.minecraft.entity.passive.BatEntity
minecraft:cat net.minecraft.entity.passive.CatEntity
minecraft:goat net.minecraft.entity.passive.GoatEntity
minecraft:rabbit net.minecraft.entity.passive.RabbitEntity
minecraft:giant net.minecraft.entity.mob.GiantEntity
minecraft:ocelot net.minecraft.entity.passive.OcelotEntity
minecraft:parrot net.minecraft.entity.passive.ParrotEntity
minecraft:ghast net.minecraft.entity.mob.GhastEntity
minecraft:cow net.minecraft.entity.passive.CowEntity
minecraft:vex net.minecraft.entity.mob.VexEntity
minecraft:fox net.minecraft.entity.passive.FoxEntity
minecraft:stray net.minecraft.entity.mob.StrayEntity
minecraft:donkey net.minecraft.entity.passive.DonkeyEntity
