minecraft:panda net.minecraft.entity.passive.PandaEntity
minecraft:llama net.minecraft.entity.passive.LlamaEntity
minecraft:trader_llama net.minecraft.entity.passive.TraderLlamaEntity
minecraft:drowned net.minecraft.entity.mob.DrownedEntity
minecraft:squid net.minecraft.entity.passive.SquidEntity
minecraft:glow_squid net.minecraft.entity.passive.GlowSquidEntity
minecraft:armor_stand net.minecraft.entity.decoration.ArmorStandEntity
minecraft:cod net.minecraft.entity.passive.CodEntity
minecraft:magma_cube net.minecraft.entity.mob.MagmaCubeEntity
minecraft:bee net.minecraft.entity.passive.BeeEntity
minecraft:zombie net.minecraft.entity.mob.ZombieEntity
minecraft:turtle net.minecraft.entity.passive.TurtleEntity
minecraft:mule net.minecraft.entity.passive.MuleEntity
minecraft:slime net.minecraft.entity.mob.SlimeEntity
minecraft:horse net.minecraft.entity.passive.HorseEntity
minecraft:zombie_horse net.minecraft.entity.mob.ZombieHorseEntity
minecraft:skeleton_horse net.minecraft.entity.mob.SkeletonHorseEntity
minecraft:endermite net.minecraft.entity.mob.EndermiteEntity
minecraft:piglin_brute net.minecraft.entity.mob.PiglinBruteEntity
minecraft:blaze net.minecraft.entity.mob.BlazeEntity
minecraft:wolf net.minecraft.entity.passive.WolfEntity
minecraft:pig net.minecraft.entity.passive.PigEntity
minecraft:witch net.minecraft.entity.mob.WitchEntity
minecraft:tropical_fish net.minecraft.entity.passive.TropicalFishEntity
minecraft:pufferfish net.minecraft.entity.passive.PufferfishEntity
minecraft:silverfish net.minecraft.entity.mob.SilverfishEntity
minecraft:husk net.minecraft.entity.mob.HuskEntity
minecraft:axolotl net.minecraft.entity.passive.AxolotlEntity
minecraft:iron_golem net.minecraft.entity.passive.IronGolemEntity
minecraft:snow_golem net.minecraft.entity.passive.SnowGolemEntity
minecraft:mooshroom net.minecraft.entity.passive.MooshroomEntity
minecraft:phantom net.minecraft.entity.mob.PhantomEntity
minecraft:guardian net.minecraft.entity.mob.GuardianEntity
minecraft:elder_guardian net.minecraft.entity.mob.ElderGuardianEntity
minecraft:enderman net.minecraft.entity.mob.EndermanEntity
minecraft:chicken net.minecraft.entity.passive.ChickenEntity
minecraft:dolphin net.minecraft.entity.passive.DolphinEntity
